Date,Time,Condition,Temperature,Wind,Wind Direction,Humidity,Barometer,Visibility,AM/PM,time_clean,time_round
20200912,3:19 PM,Mostly cloudy,79,9 mph,Wind blowing from 290° West-northwest to East-southeast,48%,29.87 Hg,3 mi,PM,1519,1500
20200912,4:23 PM,Overcast,74,14 mph,Wind blowing from 300° West-northwest to East-southeast,57%,29.86 Hg,2 mi,PM,1623,1600
20201213,6:23 PM,Passing clouds,56,14 mph,Wind blowing from 290° West-northwest to East-southeast,81%,30.16 Hg,10 mi,PM,1823,1800
20210214,11:00 PM,Light rain. Low clouds,55,10 mph,Wind blowing from 140° Southeast to Northwest,83%,30.10 Hg,3 mi,PM,2300,2300
20210215,1:20 PM,Low clouds,60,12 mph,Wind blowing from 250° West-southwest to East-northeast,83%,30.07 Hg,10 mi,PM,1320,1300
20210215,2:00 PM,Cloudy,60,13 mph,Wind blowing from 260° West to East,80%,30.06 Hg,10 mi,PM,1400,1400
20210215,5:00 PM,Broken clouds,59,16 mph,Wind blowing from 280° West to East,69%,30.08 Hg,8 mi,PM,1700,1700
20210215,7:10 PM,Partly cloudy,57,16 mph,Wind blowing from 280° West to East,74%,30.09 Hg,7 mi,PM,1910,1900
20210523,6:17 PM,Passing clouds,59,14 mph,Wind blowing from 280° West to East,69%,30.14 Hg,10 mi,PM,1817,1800
20210523,11:19 PM,Passing clouds,54,No wind,Wind blowing from 0° North to South,86%,30.15 Hg,10 mi,PM,2319,2300
20210524,8:08 PM,Scattered clouds,57,16 mph,Wind blowing from 270° West to East,78%,30.09 Hg,10 mi,PM,2008,2000
20210628,9:00 PM,Low clouds,60,14 mph,Wind blowing from 260° West to East,83%,29.83 Hg,10 mi,PM,2100,2100
20210630,1:20 PM,Scattered clouds,67,13 mph,Wind blowing from 280° West to East,68%,29.92 Hg,10 mi,PM,1320,1300
20210703,8:20 PM,Partly sunny,61,13 mph,Wind blowing from 300° West-northwest to East-southeast,78%,29.95 Hg,10 mi,PM,2020,2000
20210704,8:02 PM,Partly sunny,60,15 mph,Wind blowing from 300° West-northwest to East-southeast,80%,29.97 Hg,10 mi,PM,2002,2000
20211119,9:21 PM,Drizzle. Mostly cloudy,57,7 mph,Wind blowing from 20° North-northeast to South-southwest,90%,30.16 Hg,10 mi,PM,2121,2100
20211208,9:19 PM,Mostly cloudy,53,12 mph,Wind blowing from 270° West to East,93%,29.99 Hg,8 mi,PM,2119,2100
20220506,9:21 PM,Passing clouds,59,13 mph,Wind blowing from 260° West to East,87%,30.07 Hg,10 mi,PM,2121,2100
20220528,8:11 PM,Low clouds,61,15 mph,Wind blowing from 280° West to East,81%,29.97 Hg,9 mi,PM,2011,2000
20220629,6:25 PM,Scattered clouds,62,16 mph,Wind blowing from 280° West to East,70%,30.03 Hg,10 mi,PM,1825,1800
20221014,7:19 PM,Passing clouds,58,13 mph,Wind blowing from 290° West-northwest to East-southeast,87%,29.80 Hg,10 mi,PM,1919,1900
20221015,1:00 PM,Overcast,62,6 mph,Wind blowing from 280° West to East,73%,29.91 Hg,8 mi,PM,1300,1300
20221105,1:05 PM,More clouds than sun,59,6 mph,Wind blowing from 160° South-southeast to North-northwest,87%,30.14 Hg,9 mi,PM,1305,1300
20221105,4:24 PM,Light rain. Overcast,61,No wind,Wind blowing from 0° North to South,81%,30.06 Hg,5 mi,PM,1624,1600
20221105,6:25 PM,Light rain. Fog,59,8 mph,Wind blowing from 150° South-southeast to North-northwest,93%,30.03 Hg,4 mi,PM,1825,1800
20221105,7:23 PM,Fog,59,7 mph,Wind blowing from 160° South-southeast to North-northwest,96%,30.02 Hg,2 mi,PM,1923,1900
20221231,3:19 PM,Light rain. Fog,52,16 mph,Wind blowing from 340° North-northwest to South-southeast,86%,29.61 Hg,1 mi,PM,1519,1500
20230104,2:21 PM,Light rain. Fog,56,15 mph,Wind blowing from 130° Southeast to Northwest,90%,29.68 Hg,5 mi,PM,1421,1400
20230104,10:04 PM,Heavy rain. Fog,55,14 mph,Wind blowing from 180° South to North,93%,29.66 Hg,2 mi,PM,2204,2200
20230628,6:01 PM,Partly sunny,60,17 mph,Wind blowing from 280° West to East,75%,29.93 Hg,10 mi,PM,1801,1800
20200411,12:14 PM,Overcast,57,5 mph,Wind blowing from 270° West to East,74%,30.07 Hg,10 mi,PM,1214,1200
20200421,12:23 PM,Passing clouds,62,7 mph,Wind blowing from 220° Southwest to Northeast,62%,30.26 Hg,10 mi,PM,1223,1200
20200520,12:29 PM,Scattered clouds,64,5 mph,Wind blowing from 240° West-southwest to East-northeast,58%,30.16 Hg,10 mi,PM,1229,1200
20200614,12:29 PM,Broken clouds,69,9 mph,Wind blowing from 260° West to East,63%,30.04 Hg,10 mi,PM,1229,1200
20200719,12:02 PM,Scattered clouds,68,14 mph,Wind blowing from 310° Northwest to Southeast,65%,30.01 Hg,10 mi,PM,1202,1200
20200828,12:11 PM,Partly sunny,68,10 mph,Wind blowing from 310° Northwest to Southeast,65%,29.85 Hg,4 mi,PM,1211,1200
20200913,12:28 PM,Overcast,64,7 mph,Wind blowing from 310° Northwest to Southeast,70%,29.95 Hg,2 mi,PM,1228,1200
20200916,12:18 PM,Passing clouds,75,8 mph,Wind blowing from 190° South to North,64%,30.05 Hg,10 mi,PM,1218,1200
20200917,12:16 PM,Broken clouds,71,6 mph,Wind blowing from 280° West to East,71%,29.99 Hg,10 mi,PM,1216,1200
20200917,12:27 PM,Passing clouds,70,6 mph,Wind blowing from 0° North to South,73%,29.99 Hg,10 mi,PM,1227,1200
20201001,12:09 PM,Overcast,81,5 mph,Wind blowing from 220° Southwest to Northeast,44%,29.99 Hg,5 mi,PM,1209,1200
20201213,12:21 PM,Fog,58,10 mph,Wind blowing from 170° South to North,87%,30.15 Hg,3 mi,PM,1221,1200
20210106,12:19 PM,Light rain. Fog,53,7 mph,Wind blowing from 340° North-northwest to South-southeast,72%,30.30 Hg,2 mi,PM,1219,1200
20210413,12:29 PM,Scattered clouds,58,21 mph,Wind blowing from 250° West-southwest to East-northeast,65%,29.89 Hg,8 mi,PM,1229,1200
20210421,12:08 PM,Broken clouds,58,12 mph,Wind blowing from 300° West-northwest to East-southeast,70%,29.92 Hg,9 mi,PM,1208,1200
20210423,12:07 PM,Scattered clouds,59,No wind,Wind blowing from 0° North to South,64%,30.03 Hg,10 mi,PM,1207,1200
20210514,12:12 PM,Partly sunny,58,16 mph,Wind blowing from 250° West-southwest to East-northeast,70%,30.00 Hg,10 mi,PM,1212,1200
20210701,12:14 PM,Scattered clouds,67,12 mph,Wind blowing from 270° West to East,68%,29.95 Hg,10 mi,PM,1214,1200
20210707,12:26 PM,More clouds than sun,61,13 mph,Wind blowing from 280° West to East,75%,29.97 Hg,10 mi,PM,1226,1200
20210712,12:11 PM,Scattered clouds,62,13 mph,Wind blowing from 280° West to East,70%,29.95 Hg,10 mi,PM,1211,1200
20210713,12:12 PM,Scattered clouds,63,16 mph,Wind blowing from 270° West to East,68%,29.95 Hg,10 mi,PM,1212,1200
20210804,12:25 PM,Scattered clouds,64,12 mph,Wind blowing from 280° West to East,70%,30.02 Hg,10 mi,PM,1225,1200
20210825,12:03 PM,Scattered clouds,65,5 mph,Wind blowing from 320° Northwest to Southeast,70%,30.03 Hg,10 mi,PM,1203,1200
20210910,12:20 PM,Scattered clouds,67,12 mph,Wind blowing from 300° West-northwest to East-southeast,71%,30.01 Hg,10 mi,PM,1220,1200
20210925,12:16 PM,Broken clouds,65,10 mph,Wind blowing from 300° West-northwest to East-southeast,73%,30.01 Hg,10 mi,PM,1216,1200
20211013,12:25 PM,Partly sunny,60,3 mph,Wind blowing from 0° North to South,62%,30.04 Hg,10 mi,PM,1225,1200
20211018,12:24 PM,Partly sunny,61,12 mph,Wind blowing from 260° West to East,62%,30.06 Hg,10 mi,PM,1224,1200
20211021,12:17 PM,Partly sunny,72,10 mph,Wind blowing from 160° South-southeast to North-northwest,71%,30.10 Hg,10 mi,PM,1217,1200
20211029,12:02 PM,Passing clouds,67,8 mph,Wind blowing from 280° West to East,76%,29.99 Hg,10 mi,PM,1202,1200
20211102,12:26 PM,Broken clouds,63,5 mph,Wind blowing from 300° West-northwest to East-southeast,87%,30.23 Hg,10 mi,PM,1226,1200
20211204,12:20 PM,Scattered clouds,56,7 mph,Wind blowing from 270° West to East,75%,30.22 Hg,10 mi,PM,1220,1200
20211222,12:16 PM,Light rain. Fog,51,6 mph,Wind blowing from 320° Northwest to Southeast,96%,29.99 Hg,2 mi,PM,1216,1200
20211223,12:24 PM,Mostly cloudy,55,5 mph,Wind blowing from 160° South-southeast to North-northwest,96%,29.74 Hg,10 mi,PM,1224,1200
20220103,12:06 PM,Mostly cloudy,53,13 mph,Wind blowing from 150° South-southeast to North-northwest,74%,30.22 Hg,10 mi,PM,1206,1200
20220104,12:02 PM,Overcast,55,3 mph,Wind blowing from 0° North to South,93%,30.33 Hg,7 mi,PM,1202,1200
20220120,12:08 PM,Passing clouds,50,3 mph,Wind blowing from 270° West to East,100%,30.34 Hg,7 mi,PM,1208,1200
